City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khorixas,NA,2022-05-31 03:58:28,-20.3667,14.9667,60.96,34,0,9.82
1,Ribeira Grande,PT,2022-05-31 03:58:29,38.5167,-28.7,60.13,81,81,18.12
2,Busselton,AU,2022-05-31 03:58:29,-33.65,115.3333,61.93,55,0,5.44
3,Puerto Ayora,EC,2022-05-31 03:58:29,-0.7393,-90.3518,71.78,90,100,8.59
4,Buala,SB,2022-05-31 03:58:30,-8.145,159.5921,85.26,60,8,6.06
5,Hithadhoo,MV,2022-05-31 03:58:30,-0.6,73.0833,83.71,69,92,12.15
6,Coos Bay,US,2022-05-31 03:58:31,43.3665,-124.2179,53.58,91,40,13.8
7,East London,ZA,2022-05-31 03:58:31,-33.0153,27.9116,54.54,54,0,13.8
8,Jamestown,US,2022-05-31 03:44:44,42.097,-79.2353,71.24,65,0,8.05
9,Nea Stira,GR,2022-05-31 03:58:31,38.1833,24.2,77.18,66,1,4.76
10,Arraial Do Cabo,BR,2022-05-31 03:58:32,-22.9661,-42.0278,71.56,88,75,5.75
11,Kapaa,US,2022-05-31 03:58:32,22.0752,-159.319,79.12,74,10,3.0
12,Nizhnevartovsk,RU,2022-05-31 03:58:32,60.9344,76.5531,53.62,58,0,4.47
13,Clyde River,CA,2022-05-31 03:58:33,70.4692,-68.5914,17.83,100,0,3.44
14,Moose Factory,CA,2022-05-31 03:58:33,51.2585,-80.6094,48.2,87,100,13.8
15,Port Moresby,PG,2022-05-31 03:58:33,-9.4431,147.1797,85.42,58,75,11.5
16,Sao Joao Da Barra,BR,2022-05-31 03:58:34,-21.6403,-41.0511,72.03,92,54,7.81
17,General Roca,AR,2022-05-31 03:58:34,-39.0333,-67.5833,32.63,51,0,5.39
18,Acapulco,MX,2022-05-31 03:53:51,16.8634,-99.8901,80.04,77,100,7.72
19,Aden,YE,2022-05-31 03:58:35,12.7794,45.0367,86.27,73,11,14.29
20,Longyearbyen,SJ,2022-05-31 03:58:35,78.2186,15.6401,46.24,76,20,4.61
21,Havre-Saint-Pierre,CA,2022-05-31 03:58:35,50.2334,-63.5986,42.8,70,0,5.75
22,Cherskiy,RU,2022-05-31 03:58:36,68.75,161.3,55.83,38,68,5.44
23,Kaitangata,NZ,2022-05-31 03:58:36,-46.2817,169.8464,59.43,73,4,1.23
24,New Norfolk,AU,2022-05-31 03:58:37,-42.7826,147.0587,50.92,79,100,3.27
25,Ulaangom,MN,2022-05-31 03:58:37,49.9811,92.0667,68.97,28,100,5.79
26,Ushuaia,AR,2022-05-31 03:58:37,-54.8,-68.3,42.46,81,100,27.63
27,Punta Arenas,CL,2022-05-31 03:58:38,-53.15,-70.9167,39.31,81,0,10.36
28,Hervey Bay,AU,2022-05-31 03:58:38,-25.2986,152.8535,72.01,49,72,5.01
29,Victoria,HK,2022-05-31 03:57:05,22.2855,114.1577,83.97,86,100,8.01
30,Mahebourg,MU,2022-05-31 03:58:39,-20.4081,57.7,76.24,68,75,12.66
31,Port-Gentil,GA,2022-05-31 03:58:39,-0.7193,8.7815,75.38,88,100,12.5
32,Ballina,AU,2022-05-31 03:58:39,-28.8667,153.5667,69.01,49,10,14.32
33,Babstovo,RU,2022-05-31 03:58:40,48.1167,132.4833,51.12,95,100,6.35
34,Keti Bandar,PK,2022-05-31 03:58:40,24.1447,67.4497,84.43,75,13,19.93
35,Chokwe,MZ,2022-05-31 03:58:40,-24.5333,32.9833,61.63,86,35,3.11
36,Barrow,US,2022-05-31 03:58:41,71.2906,-156.7887,30.27,90,78,4.29
37,Wuda,CN,2022-05-31 03:58:41,39.4994,106.7117,78.48,17,0,17.2
38,Esperance,AU,2022-05-31 03:58:42,-33.8667,121.9,58.6,68,100,9.78
39,Nikolskoye,RU,2022-05-31 03:58:42,59.7035,30.7861,60.87,63,89,10.49
40,Tuy Hoa,VN,2022-05-31 03:58:43,13.0833,109.3,92.5,53,10,2.19
41,Dikson,RU,2022-05-31 03:58:43,73.5069,80.5464,30.6,88,91,10.47
42,Basoko,CD,2022-05-31 03:58:43,1.2391,23.616,70.11,91,10,3.13
43,Marawi,PH,2022-05-31 03:51:42,7.9986,124.2928,77.97,63,100,3.62
44,Mataura,NZ,2022-05-31 03:58:44,-46.1927,168.8643,57.52,80,3,3.4
45,Hobart,AU,2022-05-31 03:56:18,-42.8794,147.3294,51.26,72,75,9.22
46,Saint George,US,2022-05-31 03:59:44,37.1041,-113.5841,66.43,23,16,4.9
47,Port Elizabeth,ZA,2022-05-31 03:59:45,-33.918,25.5701,55.69,85,20,20.71
48,Atuona,PF,2022-05-31 03:59:45,-9.8,-139.0333,77.94,72,21,12.46
49,Port Alfred,ZA,2022-05-31 03:59:46,-33.5906,26.891,57.13,60,68,24.58
50,Fortuna,US,2022-05-31 03:59:46,40.5982,-124.1573,52.93,83,75,12.66
51,Siddipet,IN,2022-05-31 03:59:47,18.1,78.85,96.15,30,79,16.87
52,Rikitea,PF,2022-05-31 03:59:47,-23.1203,-134.9692,74.55,76,94,11.74
53,San Cristobal,VE,2022-05-31 03:56:00,7.7669,-72.225,73.58,92,43,2.62
54,Pangkalanbuun,ID,2022-05-31 03:59:48,-2.6833,111.6167,94.26,47,34,2.1
55,Narsaq,GL,2022-05-31 03:59:48,60.9167,-46.05,38.32,82,100,3.62
56,Omboue,GA,2022-05-31 03:59:48,-1.5746,9.2618,72.9,94,100,4.09
57,Namibe,AO,2022-05-31 03:59:49,-15.1961,12.1522,69.01,64,0,2.51
58,Dickinson,US,2022-05-31 03:59:49,29.4608,-95.0513,82.94,85,40,8.05
59,Bethel,US,2022-05-31 03:55:10,41.3712,-73.414,72.34,82,98,4.68
60,Reserva,BR,2022-05-31 03:59:50,-24.6503,-50.8506,56.5,98,100,4.47
61,Tasiilaq,GL,2022-05-31 03:59:50,65.6145,-37.6368,30.09,93,18,5.26
62,Norman Wells,CA,2022-05-31 03:59:50,65.282,-126.8329,68.04,37,20,8.05
63,Talcahuano,CL,2022-05-31 03:59:51,-36.7167,-73.1167,37.08,93,0,5.75
64,Cairns,AU,2022-05-31 03:57:32,-16.9167,145.7667,89.06,68,82,9.22
65,Saskylakh,RU,2022-05-31 03:59:51,71.9167,114.0833,28.24,86,71,5.99
66,Albany,US,2022-05-31 03:50:53,42.6001,-73.9662,72.45,77,100,3.89
67,Saqqez,IR,2022-05-31 03:59:52,36.2499,46.2735,66.22,46,3,2.75
68,Constitucion,CL,2022-05-31 03:59:52,-35.3333,-72.4167,43.27,65,0,4.94
